date,dc_id,sku_id,leadtime_actual,vlt_pred,recent_mean_7,recent_mean_30,recent_std_30,recent_sum_7,recent_sum_30,demand_forecast_sum,future_demand_sum,current_inv,dc_capacity,factory_inv,transport_cost,pt_box,box_volume,push_lb,push_ub,target_replenishment
2019-02-26,DC001,SKU052,4.0,3.071753978729248,1.1428571428571428,2.6,7.4144004028197275,8.0,78.0,4.74,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-27,DC001,SKU052,2.0,3.0765557289123535,1.7142857142857142,2.7333333333333334,7.402402012560218,12.0,82.0,6.0600000000000005,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-28,DC001,SKU052,4.0,3.078617811203003,2.2857142857142856,2.8666666666666667,7.387978222912019,16.0,86.0,7.38,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-01,DC001,SKU052,3.0,3.0759377479553223,1.7142857142857142,3.0,7.371114795831994,12.0,90.0,6.299999999999999,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-02,DC001,SKU052,3.0,3.070749282836914,1.7142857142857142,2.8,7.368401002478985,12.0,84.0,6.12,46.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-03,DC001,SKU052,2.0,3.0639419555664062,1.7142857142857142,2.6666666666666665,7.381658952355418,12.0,80.0,6.0,46.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-04,DC001,SKU052,1.0,3.059549570083618,1.7142857142857142,2.533333333333333,7.392488680335524,12.0,76.0,5.88,46.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-05,DC001,SKU052,2.0,3.0696864128112793,1.7142857142857142,2.533333333333333,7.392488680335524,12.0,76.0,5.88,14.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-06,DC001,SKU052,3.0,3.074873685836792,7.714285714285714,4.066666666666666,10.726706028516968,54.0,122.0,19.86,18.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-07,DC001,SKU052,2.0,3.0748274326324463,7.142857142857143,4.066666666666666,10.726706028516968,50.0,122.0,18.66,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-08,DC001,SKU052,5.0,3.0729763507843018,8.571428571428571,4.533333333333333,10.843533659385313,60.0,136.0,22.08,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-09,DC001,SKU052,4.0,3.0673258304595947,9.142857142857142,4.666666666666667,10.81151649348457,64.0,140.0,23.4,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-10,DC001,SKU052,4.0,3.0607008934020996,9.142857142857142,4.533333333333333,10.843533659385313,64.0,136.0,23.28,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-11,DC001,SKU052,4.0,3.0556631088256836,9.142857142857142,4.533333333333333,10.843533659385313,64.0,136.0,23.28,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-12,DC001,SKU052,2.0,3.0644619464874268,9.714285714285714,4.666666666666667,10.81151649348457,68.0,140.0,24.599999999999998,2.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-13,DC001,SKU052,5.0,3.071382522583008,3.4285714285714284,4.733333333333333,10.788677192110045,24.0,142.0,11.459999999999999,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-14,DC001,SKU052,3.0,3.0713441371917725,3.7142857142857144,4.733333333333333,10.788677192110045,26.0,142.0,12.059999999999999,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-15,DC001,SKU052,2.0,3.0698037147521973,1.7142857142857142,4.4,10.775280352114587,12.0,132.0,7.5600000000000005,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-16,DC001,SKU052,2.0,3.0675008296966553,1.1428571428571428,4.4,10.775280352114587,8.0,132.0,6.36,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-17,DC001,SKU052,1.0,3.0629565715789795,1.1428571428571428,4.4,10.775280352114587,8.0,132.0,6.36,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-18,DC001,SKU052,2.0,3.0601651668548584,1.1428571428571428,4.4,10.775280352114587,8.0,132.0,6.36,12.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-19,DC001,SKU052,1.0,3.0694358348846436,0.5714285714285714,4.4,10.775280352114589,4.0,132.0,5.16,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-20,DC001,SKU052,6.0,3.0754446983337402,2.0,4.8,10.827126427019621,14.0,144.0,8.52,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-21,DC001,SKU052,4.0,3.0730605125427246,1.7142857142857142,3.466666666666667,8.655377262462656,12.0,104.0,6.720000000000001,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-22,DC001,SKU052,2.0,3.070091724395752,1.7142857142857142,3.466666666666667,8.655377262462654,12.0,104.0,6.720000000000001,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-23,DC001,SKU052,5.0,3.0674521923065186,2.2857142857142856,3.6,8.63172443180774,16.0,108.0,8.04,6.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-24,DC001,SKU052,3.0,3.060554027557373,2.2857142857142856,3.3333333333333335,8.61523198888006,16.0,100.0,7.799999999999999,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-25,DC001,SKU052,5.0,3.056218147277832,2.2857142857142856,3.3333333333333335,8.61523198888006,16.0,100.0,7.799999999999999,30.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-26,DC001,SKU052,7.0,3.064058542251587,2.2857142857142856,3.3333333333333335,8.61523198888006,16.0,100.0,7.799999999999999,30.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-27,DC001,SKU052,4.0,3.067539691925049,1.1428571428571428,3.466666666666667,8.593537623638408,8.0,104.0,5.52,26.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-28,DC001,SKU052,1.0,3.069424629211426,1.1428571428571428,3.466666666666667,8.593537623638408,8.0,104.0,5.52,10.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-29,DC001,SKU052,1.0,3.0700552463531494,1.4285714285714286,3.4,8.596898665604165,10.0,102.0,6.0600000000000005,14.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-03-30,DC001,SKU052,2.0,3.0689332485198975,2.2857142857142856,3.6,8.677941384145589,16.0,108.0,8.04,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-01,DC001,SKU060,2.0,2.0,14.571428571428571,6.066666666666666,21.57302842800601,102.0,182.0,24.04,5.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-02,DC001,SKU060,4.0,4.0,14.571428571428571,6.066666666666666,21.57302842800601,102.0,182.0,48.08,5.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-03,DC001,SKU060,5.0,5.0,14.571428571428571,5.966666666666667,21.59395491541299,102.0,179.0,59.94999999999999,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-04,DC001,SKU060,3.0,3.0,1.0,6.133333333333334,21.566537866694212,7.0,184.0,7.62,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-05,DC001,SKU060,1.0,1.0,0.7142857142857143,6.133333333333334,21.566537866694212,5.0,184.0,2.34,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-06,DC001,SKU060,3.0,3.0,0.7142857142857143,6.066666666666666,21.58229727243037,5.0,182.0,6.959999999999999,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-07,DC001,SKU060,2.0,2.0,0.7142857142857143,6.066666666666666,21.582297272430367,5.0,182.0,4.64,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-08,DC001,SKU060,3.0,3.0,0.7142857142857143,6.066666666666666,21.582297272430367,5.0,182.0,6.959999999999999,12.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-09,DC001,SKU060,5.0,5.0,0.7142857142857143,6.066666666666666,21.582297272430367,5.0,182.0,11.6,12.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-10,DC001,SKU060,5.0,5.0,0.7142857142857143,6.066666666666666,21.582297272430367,5.0,182.0,11.6,7.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-11,DC001,SKU060,3.0,3.0,1.2857142857142858,6.366666666666666,21.558421917096698,9.0,191.0,8.43,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-12,DC001,SKU060,2.0,2.0,1.7142857142857142,6.466666666666667,21.53560359549326,12.0,194.0,6.279999999999999,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-13,DC001,SKU060,1.0,1.0,1.7142857142857142,4.1,17.909680808620415,12.0,123.0,2.4299999999999997,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-14,DC001,SKU060,3.0,3.0,1.7142857142857142,4.033333333333333,17.9210924766197,12.0,121.0,7.23,5.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-15,DC001,SKU060,2.0,3.0783371925354004,1.7142857142857142,4.033333333333333,17.9210924766197,12.0,121.0,7.23,1.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-16,DC001,SKU060,1.0,3.0845656394958496,2.2857142857142856,4.166666666666667,17.905461612467736,16.0,125.0,8.549999999999999,1.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-17,DC001,SKU060,1.0,3.08709979057312,2.2857142857142856,4.1,17.917124025170253,16.0,123.0,8.489999999999998,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-18,DC001,SKU060,5.0,3.0860483646392822,1.1428571428571428,4.133333333333334,17.910394250887453,8.0,124.0,6.12,27.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-19,DC001,SKU060,4.0,3.079557180404663,0.7142857142857143,4.133333333333334,17.910394250887453,5.0,124.0,5.22,27.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-20,DC001,SKU060,1.0,3.0725929737091064,0.7142857142857143,4.133333333333334,17.910394250887453,5.0,124.0,5.22,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-21,DC001,SKU060,6.0,3.069631814956665,0.7142857142857143,4.133333333333334,17.910394250887453,5.0,124.0,5.22,27.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-22,DC001,SKU060,5.0,3.0760622024536133,0.7142857142857143,4.133333333333334,17.910394250887453,5.0,124.0,5.22,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-23,DC001,SKU060,3.0,3.0808522701263428,4.0,5.033333333333333,18.352989462815653,28.0,151.0,12.93,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-24,DC001,SKU060,3.0,3.083146572113037,4.0,5.033333333333333,18.352989462815653,28.0,151.0,12.93,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-25,DC001,SKU060,1.0,3.081991672515869,3.857142857142857,5.033333333333333,18.352989462815653,27.0,151.0,12.629999999999999,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-26,DC001,SKU060,2.0,3.0802435874938965,3.857142857142857,5.033333333333333,18.352989462815653,27.0,151.0,12.629999999999999,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-27,DC001,SKU060,4.0,3.0747647285461426,3.857142857142857,1.7,5.09345985881241,27.0,51.0,9.629999999999999,75.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,80.0
2019-01-28,DC001,SKU060,3.0,3.0688586235046387,3.857142857142857,1.6333333333333333,5.102178184091793,27.0,49.0,9.569999999999999,75.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,80.0
2019-01-29,DC001,SKU060,5.0,3.0773000717163086,3.857142857142857,1.6333333333333333,5.102178184091793,27.0,49.0,9.569999999999999,4.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-30,DC001,SKU060,3.0,3.0816540718078613,10.285714285714286,4.033333333333333,13.610004490161721,72.0,121.0,25.23,1.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-01-31,DC001,SKU060,3.0,3.0835273265838623,10.714285714285714,4.133333333333334,13.59101010063474,75.0,124.0,26.219999999999995,1.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-02-01,DC001,SKU060,8.0,3.082263946533203,10.714285714285714,4.133333333333334,13.59101010063474,75.0,124.0,26.219999999999995,78.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,80.0
2019-02-02,DC001,SKU060,1.0,3.0743250846862793,10.857142857142858,4.166666666666667,13.582055154586223,76.0,125.0,26.549999999999997,0.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
2019-02-03,DC001,SKU060,5.0,3.068786859512329,10.857142857142858,4.0,13.601470508735444,76.0,120.0,26.4,78.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,80.0
2019-02-04,DC001,SKU060,5.0,3.062347173690796,10.857142857142858,4.0,13.601470508735444,76.0,120.0,26.4,78.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,80.0
2019-02-05,DC001,SKU060,8.0,3.0694937705993652,10.857142857142858,4.0,13.601470508735444,76.0,120.0,26.4,89.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,80.0
2019-02-06,DC001,SKU060,2.0,3.0724620819091797,0.5714285714285714,4.0,13.601470508735444,4.0,120.0,4.8,78.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,80.0
2019-02-07,DC001,SKU060,4.0,3.075932502746582,0.14285714285714285,4.0,13.601470508735444,1.0,120.0,3.9000000000000004,19.0,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0
